texts_good	texts_bad	field	error_type
43% of women use Facebook for seeing funny posts and its number was marked bigger than the number of men who do the same (35%).	43% of women use Facebook for seeing funny posts and its number is marked bigger than the number of men who do the same (35%).	morphology	Tense_choice
43% of women use Facebook for seeing funny posts and its number is marked bigger than the number of men who did the same (35%).	43% of women use Facebook for seeing funny posts and its number is marked bigger than the number of men who do the same (35%).	morphology	Tense_choice
43.7 millions of children had not access to primary education, whatever after 12 years it probably decreased to 32.7.	43.7 million of children had not access to primary education, whatever after 12 years it probably decreased to 32.7.	morphology	Noun_number
48 To sum it up, if you have a small and unknown brand, you must be to part of a large corporation that you have financial, sponsors, clients and celebrities.	48 To sum it up, if you have a small and unknown brand, you must be to part of a large corporation that you have financial, sponsors, clients and celebrity.	morphology	Noun_number
50 Secondly, people will buy products of large brands, because thay can think that a small brands does not have good products.	50 Secondly, people will buy products of large brand, because thay can think that a small brand does not have good products.	morphology	Noun_number
62% of 26-40 years-old students are invloved in this type of courses which is significantly more than the number of younger students.	62% of 26-40 year-old students are invloved in this type of courses which is significantly more than the number of younger students.	morphology	Noun_number
62% of 26-40 year-old students were involved in this type of courses which is significantly more than the number of younger students.	62% of 26-40 year-old students are invloved in this type of courses which is significantly more than the number of younger students.	morphology	Tense_choice
62% of 26-40 year-old students are invloved in this type of courses which was significantly higher than the number of younger students.	62% of 26-40 year-old students are invloved in this type of courses which is significantly more than the number of younger students.	morphology	Tense_choice
90 percent is a maximum among the school graduates , who had a Skilled vocational diploma.	90 percent is a maximum among the school graduates , who have a Skilled vocational diploma.	morphology	Tense_choice
90% per cent of men held the skilled vocational diploma, and it is nine times as high as figure for women.	90% per cent of men hold the skilled vocational diploma, and it is nine times as high as figure for women.	morphology	Tense_choice
90% per cent of men hold the skilled vocational diploma, and it was nine times as high as figure for women.	90% per cent of men hold the skilled vocational diploma, and it is nine times as high as figure for women.	morphology	Tense_choice
The absolute leader in decreasing is Swedenbecause in 2015 it used less than 30% of the fossil fuels energy, while France consumes less than 50% of it.	The absolute leader in decreasing is Swedenbecause in 2015 it uses less than 30% of the fossil fuels energy, while France consumes less than 50% of it.	morphology	Tense_choice
The absolute leader in decreasing is Swedenbecause in 2015 it uses less than 30% of the fossil fuel energy, while France consumes less than 50% of it.	The absolute leader in decreasing is Swedenbecause in 2015 it uses less than 30% of the fossil fuels energy, while France consumes less than 50% of it.	morphology	Noun_number
The absolute leader in decreasing is Swedenbecause in 2015 it uses less than 30% of the fossil fuels energy, while France consumed less than 50% of it.	The absolute leader in decreasing is Swedenbecause in 2015 it uses less than 30% of the fossil fuels energy, while France consumes less than 50% of it.	morphology	Tense_choice
The bar chart and the flow chart provide the information about investments in renewable energy in the current periodbetween 2006 and 2013.	The bar chart and the flow chart provide the information about the investment in renewable energy in the current periodbetween 2006 and 2013.	morphology	Noun_number
A big amount of people whose eyesight has become  worse.	A big amount of people whose eyesight became  worse.	morphology	Tense_choice
A child ws tking n exmple from  50 yered mn.	A child ws tking n exmple from  50 yered mn.	morphology	Tense_choice
A close look at data helps to notice that the youngest  spend a lot of time doing sport , and the oldest  spend very little time doing exercises.	A close look at data helps to notice that the youngest  spend a lot of time to do sport , and the oldest  spend very little time doing exercises.	morphology	Tense_choice
A closer look at the chart shows than the most striking element is male youngsters aged 16-25 spent nearly 5 hours engaging in sports activities compared with less than 2 hours of exercise of their female counterparts.	A closer look at the chart shows than the most striking elements is male youngsters aged 16-25 spent nearly 5 hours engaging in sports activities compared with less than 2 hours of exercise of their female counterparts.	morphology	Noun_number
A closer look at the data shows that men spend more time on a sport than women in all age groups.	A closer look at the data shows that men spend more time on a sport than women in all age group.	morphology	Noun_number
A closer look at the graph reveals that the number of UK tourists going on a trip to a foreign country had almost threefold, while the number of overseas residents coming to Great Britain had more than doubled.	A closer look at the graph reveals that the number of UK tourists going on a trip to a foreign country has almost threefold, while the number of overseas residents coming to Great Britain has more than doubled.	morphology	Tense_choice
A closer look at the graph reveals that the number of UK tourists going on a trip to a foreign country had almost threefold, while the number of overseas residents coming to Great Britain had more than doubled.	A closer look at the graph reveals that the number of UK tourists going on a trip to a foreign country has almost threefold, while the number of overseas residents coming to Great Britain has more than doubled.	morphology	Tense_choice
A closer look at the line-charts highlights the fact that figures for minimum temperatures in both cities copy tendency of that for maximum temperaturess.	A closer look at the line-charts highlights the fact that figures for minimum temperature in both cities copy tendency of that for maximum temperatures.	morphology	Noun_number
A closer look at the table reveals that the trends for different age groups were not always similar.	A closer look at the table reveals that the trends for different age groups are not always similar.	morphology	Tense_choice
Family is a nesseserry devise for the development of a kid.	Family is a nesseserry devise for a kid development.	morphology	Noun_number
A further disadvantage is that in the side of government, because by replacing small businesses they lose one of the big parts of economics.	A further disadvantage is that in the side of government, because by replacing small businesses they lose one of the big part of economics.	morphology	Noun_number
A glance at these two tables reveals that agriculture is the most unfavourable employment sector in Australia, due to the data about males and women (3 and 1 per cent of workers respectively).	A glance at these two tables reveals that agriculture is the most unfavourable employment sector in Australia, due to the data about male and women (3 and 1 per cent of workers respectively).	morphology	Noun_number
A glance on the charts shows that Science course was the most popular - 650 students prefer it.	A glance on the charts shows that Science course is the most popular - 650 students prefer it.	morphology	Tense_choice
A good example is my situation: I had some problems with health and after starting doing sports I became more healthy.	A good example is my situation: I had some problems with health and after starting doing sports I become more healthy.	morphology	Tense_choice
A good example is old people who are visiting a number of doctors nowadays because they  not  time to care to themselves because they were busy working.	A good example is old people who are visiting a number of doctors nowadays because they  not  time to caring to themselves because they were busy working.	morphology	Tense_choice
A huge advancement in the development of the African continent has already been made and, most importantly, a lot of lives were saved thanks to the help of international organisations, such as UNESCO.	A huge advancement in the development of the African continent was already made and, most importantly, a lot of lives were saved thanks to the help of international organisations, such as UNESCO.	morphology	Tense_choice
A huge amount of men have it diploma, but only 10 percent of women have it.	A huge amount of man have it diploma, but only 10 percent of woman have it.	morphology	Noun_number
A huge amount of man have it diploma, but only 10 percent of women have it.	A huge amount of man have it diploma, but only 10 percent of woman have it.	morphology	Noun_number
A huge jump can be seen in the age group from 16 to 24, where the male population was almost 3 times more active than women.	A huge jump can be seen in the age group from 16 to 24, where the male population was almost 3 times more active than woman.	morphology	Noun_number
A large number of famous sportsmen whose name are used by brands (e.g.	A large number of famous sportsmen whose name are used by brand (e.g.	morphology	Noun_number
A look at the diagram highlights the fact that N. Africa had the biggest unemployment rate, while the number of people, who had not work is three times less in S. Asia.	A look at the diagram highlights the fact that N. Africa has the biggest unemployment rate, while the number of people, who had not work is three times less in S. Asia.	morphology	Tense_choice
A look at the diagram highlights the fact that N. Africa has the biggest unemployment rate, while the number of people, who had not work was three times less in S. Asia.	A look at the diagram highlights the fact that N. Africa has the biggest unemployment rate, while the number of people, who had not work is three times less in S. Asia.	morphology	Tense_choice
A lot of countries have the ability to produce different kinds of food.	A lot of countries have the ability to produce different kind of food.	morphology	Noun_number
A lot of health problems can be solved by simply refusing  to go to work by car and choosing a bicycle instead.	A lot of health problems can be solved by simply refusing  going to work by car and choosing a bicycle instead.	morphology	Tense_choice
A lot of ideas must be shown because a lot of creative artists do things which are linked with social problem in the world.	A lot of ideas must be shown because a lot of creative artists do thing which are linked with social problem in the world.	morphology	Noun_number
A lot of ideas must be shown because a lot of creative artists do thing which are linked with social problems in the world.	A lot of ideas must be shown because a lot of creative artists do thing which are linked with social problem in the world.	morphology	Noun_number
A lot of investment and smart people were required to investigate this powerful application for drivers.	A lot of investments and smart people were required to investigate this powerful application for drivers.	morphology	Noun_number
A lot of  sport facilities help people to correct their bodies and health .	A lot of  sport facilities help people to correct their body and health .	morphology	Noun_number
A lot of people are sure that modern technologies, which are becoming more and more popular, may be the cause for the rising of the numbers of problems in health.	A lot of people are sure that modern technology, which are becoming more and more popular, may be the cause for the rising of the numbers of problems in health.	morphology	Noun_number
Many people believe that famous and creative artists should not be given the opportunity to express their own opinion in their job.	Many people believe that famous and creative artists should not be given the opportunity to express their own opinions in their job.	morphology	Noun_number
A lot of people have a possibility to buy a membership card in fitness centres , but they do not do it because they are lazy and prefer watching TV or play computer games in the evening.	A lot of people have a possibility to buy a membership card in fitness centres , but they do not do it because they are lazy and prefer to watch TV or play computer games in the evening.	morphology	Tense_choice
A lot of people have a possibility to buy a membership card in fitness centres , but they do not do it because they are lazy and prefer to watch TV or playing computer games in the evening.	A lot of people have a possibility to buy a membership card in fitness centres , but they do not do it because they are lazy and prefer to watch TV or play computer games in the evening.	morphology	Tense_choice
A lot of people nowadays cannot doing sport because they do not have money for some activities, which are interesting for them.	A lot of people nowadays cannot doing sport because they do not have money for some activity, which are interesting for them.	morphology	Noun_number
A lot of people suppose that technologies can caused a lot of health problems.	A lot of people suppose that technology can caused a lot of health problems.	morphology	Noun_number
A lot of people suppose that technology can cause a lot of health problems.	A lot of people suppose that technology can caused a lot of health problems.	morphology	Tense_choice
A lot of people think that multinational brands don't give opportunities to small businesses to develop because they can't win a competition and they can't afford to buy adverts.	A lot of people think that multinational brands don't give opportunities to small businesses to develop because they can't win a competition and they can't afford to buy advert.	morphology	Noun_number
A lot of people walking on the streets see a building and then they decide whether to enter to it or not.	A lot of people walking on the streets see a building and then they has solved to enter to it or not.	morphology	Tense_choice
A lot of people want to work there because they have many advantages like good staff and modern technology.	A lot of people want to work there because they have many advantages like good staff and modern technologies.	morphology	Noun_number
A lot of people were shocked and sent messages to local authorities to back their national memory.	A lot of people were shocked and send messages to local authorities to back their national memory.	morphology	Tense_choice
A lot of small proprietorships exist hundreds of years in their countries providing people with goods and delivering services.	A lot of small proprietorships exist hundred of years in their countries providing people with goods and delivering services.	morphology	Noun_number
A lot of worldwide brands replace local businesses.	A lot of worldwide brands replace local business.	morphology	Noun_number
A more detailed look of the chart reveals thof men almost of all ages spent more time on exercises than women, except of the age of 55-64.	A more detailed look of the chart reveals thof men almost of all ages spent more time on exercice than women, except of the age of 55-64.	morphology	Noun_number
A more detailed look at the charts revealsthat most of metals were transported by rail - 35%, while 11% of these goods are transported by road.	A more detailed look at the charts revealsthat most of metals is transported by rail - 35%, while 11% of these goods are transported by road.	morphology	Tense_choice
A more detailed look at the charts revealsthat most of metals is transported by rail - 35%, while 11% of these goods were transported by road.	A more detailed look at the charts revealsthat most of metals is transported by rail - 35%, while 11% of these goods are transported by road.	morphology	Tense_choice
A more detailed look at the graph provides information that in 1985 Japan had a slight increase while the other countries fell.	A more detailed look at the graph provides information that in 1985 Japan has a slight increase while the other countries fell.	morphology	Tense_choice
A more detailed look at the graph reveals that the numbers of both travels to and from the UK increased in the 20 years between 1979 and 1999.	A more detailed look at the graph reveals that the numbers of both travels to and from the UK were increasing in the 20 years between 1979 and 1999.	morphology	Tense_choice
A negative trend could be noticed in the EU, the level of unemployment rised by 0,4%, from 7,5% to 7,9%.	A negative trend can be noticed in the EU, the level of unemployment rised by 0,4%, from 7,5% to 7,9%.	morphology	Tense_choice
A negative trend can be noticed in the EU, the level of unemployment rose by 0,4%, from 7,5% to 7,9%.	A negative trend can be noticed in the EU, the level of unemployment rised by 0,4%, from 7,5% to 7,9%.	morphology	Tense_choice
The percentages of the transportation of chemicals approximately the same.	The percentages of transportation of chemicals approximately the same.	morphology	Noun_number
A person will be able to overcome everything if relatives support him or her; provide a comfortable life if his finances allow that; stay happy if his job is not stressful, but enjoyable.	A person is able to overcome anything if relatives support him; provide a comfortable life if his finances allow that; stay happy if his job is not stressful, but enjoyable.	morphology	Tense_choice
A person is able to overcome anything if relatives support him; will provide a comfortable life if his or her finances allow that; stay happy if his job is not stressful, but enjoyable.	A person is able to overcome anything if relatives support him; provide a comfortable life if his finances allow that; stay happy if his job is not stressful, but enjoyable.	morphology	Tense_choice
A person is able to overcome anything if relatives support him; provide a comfortable life if his finances allow that; will stay happy if his or her job is not stressful but enjoyable.	A person is able to overcome anything if relatives support him; provide a comfortable life if his finances allow that; stay happy if his job is not stressful, but enjoyable.	morphology	Tense_choice
A remarkable feature is that every group of courses had different percentage of age groups attending.	A remarkable feature is that every group of courses has different percentage of age groups attending.	morphology	Tense_choice
A remrkble increse in trvel had taken  plce since 1985, reching  pek in 1999 with more thn 50 million visits by UK residents nd 30 million visits by overses.	A remrkble increse in trvel took  plce since 1985, reching  pek in 1999 with more thn 50 million visits by UK residents nd 30 million visits by overses.	morphology	Tense_choice
A survey carried out by World Health Organization showed that children tend to copy the information they recieve, in other words, do what they have seen previously and say what they heard.	A survey carried out by World Health Organization showed that children tend to copy the information they recieve, in other words, do what they saw previously and say what they heard.	morphology	Tense_choice
A survey carried out by World Health Organization showed that children tend to copy the information they recieve, in other words, do what they saw previously and say what they have heard.	A survey carried out by World Health Organization showed that children tend to copy the information they recieve, in other words, do what they saw previously and say what they heard.	morphology	Tense_choice
A tendency of replacing little businesses by bigger ones is a hot topic of debate among experts.	A tendency of replacing little businesses by bigger ones is a hot topic of debates among experts.	morphology	Noun_number
A total time of spending on different types of sport and exercise by all women and men of England in the year of 2012 depicts on this bar-chart.	A total time of spending on different types of sport and exercises by all women and men of England in the year of 2012 depicts on this bar-chart.	morphology	Noun_number
The white segment of the pie chart was the biggest of all 4 segments , and it shows that mainly electricity was used for heating.	The white segment of the pie chart is the biggest of all 4 segments , and it shows that mainly electricity is used for heating.	morphology	Tense_choice
ANOTHER POINT IS THAT BRAND WILL HAVE HUGE PROFITS, SO THEY CAN SPEND IT ON RESEARCHES AND IMPROVEMENTS FOR OUR ECONOMIC.	ANOTHER POINT IS THAT BRAND WILL HAVE HUGE PROFIT, SO THEY CAN SPEND IT ON RESEARCHES AND IMPROVEMENTS FOR OUR ECONOMIC.	morphology	Noun_number
Another example is my grandfather who has spent his life on trying to earn a lot of money, but he had to miss his sons' graduation from school and universities, he even was late for the most important event in his elder son's life-his wedding because of a business meeting.	Another example is my grandfather who spent his life on trying to earn a lot of money, but he had to miss his sons' graduation from school and universities, he even was late for the most important event in his elder son's life-his wedding because of a business meeting.	morphology	Tense_choice
About 70% of people with these diplomas were women.	About 70% of people with these diplomas are women.	morphology	Tense_choice
About a third of the Japanese population is going to be aged 65 and over in 2040- compare that to below 5%  in 2000.	About a third of the Japanese population would be aged 65 and over in 2040- compare that to below 5%  in 2000.	morphology	Tense_choice
About ten years ago, children's did not have an opportunity to use computer every day, that is why they spent time with friends outside and played "children's games".	About ten years ago, children's did not have an opportunity to use computer every day, that is why they spent time with friends outside and play "children's games".	morphology	Tense_choice
Absolutely at all observed age groups the younger ones have a bigger amount of cumulative time spent doing sports.	Absolutely at all observed age groups the younger one has a bigger amount of cumulative time spent doing sports.	morphology	Noun_number
According in the graph the highest results were in Japan (it was between approximately 42-30%, then it dropped rapidly in 10% in a decade.)	According in the graph the highest results were in Japan (it is between approximately 42-30%, then it dropped rapidly in 10% in a decade.)	morphology	Tense_choice
According to the graph, the population of  the group of people aged 65 constantly was growing up in the USA and Sweden since 1940 to the beginning of 1980's.	According to the graph, the population of  the group of people aged 65 constantly grew up in the USA and Sweden since 1940 to the beginning of 1980's.	morphology	Tense_choice
According the graph we clearly seen that men more sporty than women over all ages.	According the graph we clearly seen that man more sporty than women over all ages.	morphology	Noun_number
According to another graph it can be noticed that more than ten million of UK visitors chose for their trips France, which is about one fifth of the all visits abroad.	According to another graph it can be noticed that more than ten million of UK visitors choose for their trips France, which is about one fifth of the all visits abroad.	morphology	Tense_choice
According to another graph it can be noticed that more than ten million of UK vwasitors choose for their trips France, which was about one fifth of the all vwasits abroad.	According to another graph it can be noticed that more than ten million of UK visitors choose for their trips France, which is about one fifth of the all visits abroad.	morphology	Tense_choice
According to the bar chart, the Middle East was a region where the unemployment rate decreased rapidly from 11% to 9,6% after only one year.	According to the bar chart, the Middle East is a region where the unemployment rate decreased rapidly from 11% to 9,6% after only one year.	morphology	Tense_choice
Accordatg to the data, young men spent a record amount of time on doatg sports  at the teen age and middle age, atdicators is about 282 hours at the age of 16-24, adult's and middle-aged men's amount of hours is fluctuatatg between 150 and 115 hours.	Accordatg to the data, young men spend a record amount of time on doatg sports  at the teen age and middle age, atdicators is about 282 hours at the age of 16-24, adult's and middle-aged men's amount of hours is fluctuatatg between 150 and 115 hours.	morphology	Tense_choice
According to the graph, the proportion of Japanese population remained fairly steady from 1940 to 2000, but then it began to increase significantly and reaches a peak in 2000.	According to the graph, the proportion of Japanese population remained fairly steady from 1940 to 2000, but then it began to increase significantly and reached a peak in 2000.	morphology	Tense_choice
According to many modern researches, for example Maden Glimpsy's , people without rest easily become depressed, they lose their motivation and, consequently, become less productive.	According to many modern researches, for example Maden Glimpsy's , people without rest easily become depressed, they lost their motivation and, consequently, become less productive.	morphology	Tense_choice
According to the researchers, the proportions of elderly people in population will be much more higher in comparison with 2020 or earlier trends (about 25% in 2030 and 5-15% in 2000 respectively).	According to the researchers, the proportions of elderly people in population are much more higher in comparison with 2020 or earlier trends (about 25% in 2030 and 5-15% in 2000 respectively).	morphology	Tense_choice
According to scientific researches, modern technologies could be a great danger for modern society, especially for citizens health.	According to scientific researches, modern technologies could be a great danger for modern society, especially for citizen's health.	morphology	Noun_number
According to some people, this way of solving health problems is really efficient.	According to some people, this way of solving health problem is really efficient.	morphology	Noun_number
According to that, people started to pay more attention to multinational brands rather than local businesses.	According to that, people started to pay more attention to multinational brands rather than local business.	morphology	Noun_number
According to the age speciefied in the graph, men and women aged from 16-24 represent the highest percentage.	According to the age speciefied in the graph, men and woman aged from 16-24 represent the highest percentage.	morphology	Noun_number
According to the bar chart, the unemployment rate in North Africa was the highest in comparwason to other regions rates.	According to the bar chart, the unemployment rate in North Africa is the highest in comparison to other regions rates.	morphology	Tense_choice
According to the bar chart, maturing people have a tendency to eliminate sport and exercise from their life.	According to the bar chart, maturing people have a tendency to eliminate sport and exercises from their life.	morphology	Noun_number
According to the bar charts, as men as women of 16-24 spent the biggest number of minutes on sport in 2012 (282,1 - men, 114,1 - women)However, as we can see from the charts in the majority of age categories more men than women were intu sport and exercise.	According to the bar charts, as men as women of 16-24 spent the biggest number of minutes on sport in 2012 (282,1 - men, 114,1 - women)However, as we can see from the charts in the majority of age categories more men than women were intu sport and exercises.	morphology	Noun_number
According to the bar graph, the percentage of overweight children increased during 20 years from 11 to 25 percent.	According to the bar graph, the percentage of overweight children has increased during 20 years from 11 to 25 percent.	morphology	Tense_choice
According to the bar chart USA was a leader in book printing- because they spend 10-5 billion dollars on print books.	According to the bar chart USA is a leader in book printing- because they spend 10-5 billion dollars on print books.	morphology	Tense_choice
According to the bar chart USA is a leader in book printing- because they spent 10-5 billion dollars on print books.	According to the bar chart USA is a leader in book printing- because they spend 10-5 billion dollars on print books.	morphology	Tense_choice
According to the chart, in European countries the rate of unemployment people is 7,5%, and this the rate increase in 2015.	According to the chart, in European countries the rate of unemployment peoples is 7,5%, and this the rate increase in 2015.	morphology	Noun_number
According to the chart, in European countries the rate of unemployment peoples was 7,5%, and thwas the rate increase in 2015.	According to the chart, in European countries the rate of unemployment peoples is 7,5%, and this the rate increase in 2015.	morphology	Tense_choice
According to the chart, in European countries the rate of unemployment peoples is 7,5%, and this the rate increased in 2015.	According to the chart, in European countries the rate of unemployment peoples is 7,5%, and this the rate increase in 2015.	morphology	Tense_choice
According to the chart, the highest level of unemployment  was observed in countries of North Africa , and it was 12,5 percent.	According to the chart, the highest level of unemployment  is observed in countries of North Africa , and it is 12,5 percent.	morphology	Tense_choice
According to the chart, the highest level of unemployment  was observed in countries of North Africa , and it was 12,5 percent.	According to the chart, the highest level of unemployment  is observed in countries of North Africa , and it is 12,5 percent.	morphology	Tense_choice
