texts_good	texts_bad	field	error_type
A lot of small proprietorships exist for hundred of years in their countries providing people with goods and delivering services.	A lot of small proprietorships exist hundred of years in their countries providing people with goods and delivering services.	semantics	Verb_pattern
A person always seeks an occupation.	A person always seeks for an occupation.	semantics	Verb_pattern
A person caught using prohibited drugs may understand it was awful and regret it.	A person caught using prohibited drugs may understand it was awful and make a remorse.	semantics	Word_choice
Rising popularity of smartphones, laptops, computers and other gadgets affects people's eyes.	Rising popularity of smartphones, laptops, computers and other gadgets leads to damage to people's eyes.	semantics	Word_choice
A vast majortheyy of people argue that buildings should have attractive appearance, while others claim that they have to be useful and serve theys purposes.	A vast majortheyy of people argue that buildings should have attractive appearance, while others claim that they have to be useful and serve theys options.	semantics	Word_choice
Here's another example I read last week.	About another example I read last week.	semantics	Word_choice
absolutely to the contrary a situation we can see in Japan.	absolutely contrast a situation we can see in Japan.	semantics	Word_choice
having said that,  it should be noticed that despite the tough conditions, in which women are living today, sometimes the refusal to allow to work and study some activities for women is reasonable.	According to all these aspects it should be noticed that despite the tough conditions, in which women are living today, sometimes the refusal to allow to work and study some activities for women is reasonable.	semantics	Word_choice
According to first diagram, half of Yemen's population in 2000 consisted of children 0-14 years old.	According to first diagram, half of Yemen's population in 2000 was children 0-14 years old.	semantics	Word_choice
According to my beliefs, universities should exclude such parts of the patriarchal culture as unequal number of males and females and provide every student with the same chances, opportunities and choices.	According to my beliefs, universities should exclude such parts of the patriarchy culture as unequal number of males and females and provide every student with the same chances, opportunities and choices.	semantics	Word_choice
According to the chart below, the highest changing was in South Asia, where 16.8 millions girl got access to primary school (21.6 millions in 2000 and 4.8 millions in 2012), while only 6 millions boys went to the school in this period and in this region.	According to the chart below, the highest changing was in South Asia, when 16.8 millions girl got access to primary school (21.6 millions in 2000 and 4.8 millions in 2012), while only 6 millions boys went to the school in this period and in this region.	semantics	Word_choice
According to the chart,  is noticable that young males did sport much more regularly than females did , peaking at 282,1 minutes  between 16 and 24 years.	According to the chart,  is noticable that young males did sport much more regularly than females did , peaking 282,1 minutes  between 16 and 24 years.	semantics	Verb_pattern
According to the chart. the percentage of boys. who were overweight. significantly increased between 1995 and 2005. started from 10%  to 25%, and , as a result, the highest share in the chart(25%,).	According to the chart. the percentage of boys. who had overweight. significantly increased between 1995 and 2005. started from 10%  to 25%, and , as a result, the highest share in the chart(25%,).	semantics	Word_choice
According to the first diagram, we can notice that there is a considerable difference in the number of users with desktop and users with mobile phones or tablets.	According to the first diagram, we can notice that there is a considerable difference in counting users with desktop and users with mobile phones or tablets.	semantics	Word_choice
According to the toecast, printed book sellings will decrease to 5 billion by 2018, whereas eBooks market will expand to the same amount of money.	According to the toecast, printed book sells will decrease to 5 billion by 2018, whereas eBooks market will expand to the same amount of money.	semantics	Word_choice
According to the graph, there are can be clearly seen that there are also exist two groups of lines.	According to the graph, it can be clearly seen that it also exist two groups of lines.	semantics	Word_choice
According to the graph, the rate in France accounted for 90% which was about 8% lower than the rate in Sweden.	According to the graph, the rate in France accounted 90% which was about 8% lower than the rate in Sweden.	semantics	Verb_pattern
Adressing the historical  viewpoint let's remember the past.	According to the historical  viewpoint let's remember the past.	semantics	Word_choice
According to the statistics presented by ITMO, who has such situation on the faculty of economics a lot of people lost their study places due to this experiment and as a result only few students who studied in these groups were satisfied with such situation.	According to the statistics presented by ITMO, who has such situation on the faculty of economics a lot of people lost their study places due to this experiment and as a resulted only few students who studied in these groups were satisfied with such situation.	semantics	Word_choice
According to the survey undertaken by The Guardian magazine, 70% of children behaved more like their parents rather than their friends, which presents us that a family has an abundant influence in their child's life.	According to the survey undertaken by The Guardian magazine, 70% of children performed more like their parents rather than their friends, which presents us that a family has an abundant influence in their child's life.	semantics	Word_choice
According to the survey undertaken by The Guardian magazine, 70% of children performed more like their parents rather than their friends, which proves us that a family has an abundant influence in their child's life.	According to the survey undertaken by The Guardian magazine, 70% of children performed more like their parents rather than their friends, which presents us that a family has an abundant influence in their child's life.	semantics	Word_choice
According for the forpic of this work we are able for discover a lot of talented woman in such disciplines as physics and maths so it can provide a push for the new scientific revolution.	According for the forpic of this work we are able for discover a lot of talented woman in such disciplines as physics and maths so it can become an impact for the new scientific revolution.	semantics	Word_choice
According to this data, it can be pointed out that the most frequent visitors here are 26-40-year-olds (62%), then the oldest audience  (23%) , and after the youngest one follows (15%).	According to this data, it can be pointed out that the most frequent visitors here are 26-40-year-olds (62%), then the oldest auditory  (23%) , and after the youngest one follows (15%).	semantics	Word_choice
According to this bar graph the number  minutess  local calls each year from 1995 to 1999 went up, reaching the maximum in 1999, about 90 billion  minutes, but in the next three years the number  minutess has declined rapidly.	According to this bar graph the number  minutess  local calls each year from 1995 to 1999 went up, hitting a peak in 1999, about 90 billion  minutes, but in the next three years the number  minutess has declined rapidly.	semantics	Word_choice
According to this table, we can suppose that young people from 18 to 25 do not want to work in this sphere, their priority is technology and building sector.	According to this table, we can suppose that young people from 18 to 25 do not want working in this sphere, their priority is technology and building sector.	semantics	Verb_pattern
Actually, common citizens do not even know about piracy and how it affects artists.	Actually, common citizens do not even know about piracy and how it affects on artists.	semantics	Verb_pattern
To be more precise, the graph shows us three age categories: from 18 to 29, from 30 to 49, from 50 to 64 and 65 and more.	To be more precise, the graph shows us three categories of the age: from 18 to 29, from 30 to 49, from 50 to 64 and 65 and more.	semantics	Word_choice
Actually, when we ban cheaters forever, we do not even give them a chance to be better, to think over their mistake.	Actually, when we ban cheaters forever, we do not even give them a chance to be better, to think over his mistake.	semantics	Word_choice
Also, great difference  in the age group from 0 to 14 years, it is going down but difference will remain  by 2050 -	Also, great difference  in the age group from 0 to 14 years, it is going down but difference will be saved by 2050 -	semantics	Word_choice
Additionally, at the age of 40 - 49 the number of people studied for career purposes and for their interest remained at the same level.	Additionally, at the age of 40 - 49 the number of people studied for career purposes and for their interest maintain the same level.	semantics	Word_choice
Additionally, studying process decreased in popularity as the main purpose of the UK people's  visits of public libraries - it accounted for 10 and 2 percent in 1990 and 2000  respectively.	Additionally, studying process decreased in popularity as the main purpose of the UK people's  visits of public libraries - it accounted 10 and 2 percent in 1990 and 2000  respectively.	semantics	Verb_pattern
Additionally, the government and international organization such as United Nation Organization should act in an effective way which will encourage people to be law-abiding and as a consequence to follow rules which will help us protect our environment and reduce air pollution.	Additionally, the government and international organization such as United Nation Organization should act in an effective way which will encourage people to be law-abiding and as a consequence to follow rules which will help us to protect our environment and reduce air pollution.	semantics	Verb_pattern
Additionally, it should be mentioned that the maximum point of the bar chart is 25% in the year of 2005 (the percentage of overweight boys) and the minimum - 11% in the year of 1985 (once again, overweight boys).	Additionally, it should be mentioned that the maximum point of the bar chart comes to 25% in the year of 2005 (the percentage of overweight boys) and the minimum - 11% in the year of 1985 (once again, overweight boys).	semantics	Word_choice
Admittedly,  industry in Indonesia is the worst alternative which people chose.	Admittedly,  industry in Indonesia is the least alternative which people chose.	semantics	Word_choice
Adults should also help the young generation build a career.	Adults should also help the young generation to build a career.	semantics	Verb_pattern
The advantages of multinational brands for cities, where citizens already got used to living fast and spending money on what they want, are clear to see.	The advantages of multinational brands for cities, where citizens already got used to live fast and spending money on what they want, are clear to see.	semantics	Verb_pattern
Advocates of this opinion say that some people just cannot afford to buy films and music while they need it to increase their levels of culture and education.	Advocates of this opinion say that some people just cannot afford buying films and music while they need it to increase their levels of culture and education.	semantics	Verb_pattern
After 1999 total duration of local calls started to drop and decreased to 70 billion minutes of calls.	After 1999 total number of local calls started to drop and decreased to 70 billion minutes of calls.	semantics	Word_choice
After all it is not about who you want to be and your ability to apply for desired subject.	After all it is not about who you want to be and your ability to take desired subject.	semantics	Word_choice
After reaching 90 billion that year, these calls had fallen back to the 1995 figure by 2002.	After peaking 90 billion that year, these calls had fallen back to the 1995 figure by 2002.	semantics	Word_choice
After that both numbers of visits to and from the UK started to grow rapidly.	After that both amount of visits to and from the UK started to grow rapidly.	semantics	Word_choice
After that brother began to spend his time outdoors and it was wonderful when he stopped being angry and he changed.	After that brother began spend his time outdoors and it was wonderful when he stopped being angry and he changed.	semantics	Verb_pattern
After that they get too lazy.	After that they is begginning too lazy.	semantics	Word_choice
After that there was a gradually increasing and the sum of investment had a peak in 2011, and consisted of 279 $ bn.	After that there was a gradually increasing and the sum of investment had a peak in 2011, and consisted 279 $ bn.	semantics	Verb_pattern
After that, supposed that the proportion  will be falling until 2015, and then  a huge increase up to 23% is expected%.	After that, supposed that the proportion  will be falling until 2015, and then  it will be a huge increace up to 23%.	semantics	Word_choice
After the middle of 80-s it bectheme grow the lot thend retheched the number of 50 million by 1999.	After the middle of 80-s it bectheme grow the lot thend retheched the number of 50 million by 1999.	semantics	Word_choice
After the middle of 80-s it bectheme grow the lot thend retheched the number of 50 million by 1999.	After the middle of 80-s it bectheme grow the lot thend retheched the number of 50 million by 1999.	semantics	Word_choice
After the year of 1995 boys were prone to suffer from being overweight more than girls.	After the year of 1995 boys were evident to suffer from being overweight more than girls.	semantics	Word_choice
After this period, again, a rise in the average amount of time spent on training by men can be seen, and at 75 years, men devote time when sports in the same proportion when women when the latter did when they were 16-24 years old.	After this period, again, a rise in the average amount of time spent on training by men can be seen, and at 75 years, men devote time when sports in the same proportion when women when the latter did during the 16-24 year-old period.	semantics	Word_choice
After years of war with all artists of this kind, the administration of the most cities around the world gave the special parts of city to the most talented and well-known street artists.	After years of war with all artists of this kind, the administration of the most cities around the world gave the special parts of city the most talented and well-known street artists.	semantics	Verb_pattern
Air pollution and global warming are the most important problems for the mankind nowadays.	Air pollution and global warming use the most important problems for the mankind nowadays.	semantics	Word_choice
Air travel has been proved to contribute greatly to air pollution and global warming.	Air travel has been proven to contribute greatly to air pollution and global warming.	semantics	Word_choice
Airplane is a very expensive mechanism, so there are few of them in the world.	Airplane is a very expensive mechanism, so the amount of them is quite little in the world.	semantics	Word_choice
All of this improvment from both small and large companies give buyers a great variety of choice of the best products.	All of this improvment from both small and large companies give to buyers a great variety of choice of the best products.	semantics	Verb_pattern
All numbers decreased to 33 million.	All numbers went off to 33 million.	semantics	Word_choice
All in all, there is a huge jump in the sector of people aged 65 and over in all these countries during the whole period.	All in all, there is a huge jump in the number of people aged 65 and over in all these countries during the whole period.	semantics	Word_choice
All in all, I can't say whether I  strongly agree or disagree with the following statement, because both sides have their point.	All in all, I can't say whether I'm strongly agree or disagree with the following statement, because both sides have their point.	semantics	Verb_pattern
All in all, I suppose, that the problem of juvenile crime caused by violence is not going to be solved in near future because of many issues, though I think that the parents control is the most effective method today.	All in all, I suppose, that the problem of youths crimes caused by violence is not going to be solved in near future because of many issues, though I think that the parents control is the most effective method today.	semantics	Word_choice
All in all, I think that it's not an appropriate idea to let the equal number of men and women graduate from universities.	All in all, I think that it's not an appropriate idea to let the equal number of men and women graduate universities.	semantics	Verb_pattern
All in all I think that learning foreign language is better in secondary school than in primary but children need to learn both language in secondary school because today there is globalization in all modern countries which speak in many language.	All in all I think that learning foreign language is better in secondary school than in primary but children need to learning both language in secondary school because today there is globalization in all modern countries which speak in many language.	semantics	Verb_pattern
All in all I think that learning foreign language is better in secondary school than in primary but children need to learning both language in secondary school because today there is globalization in all modern countries which speak many language.	All in all I think that learning foreign language is better in secondary school than in primary but children need to learning both language in secondary school because today there is globalization in all modern countries which speak in many language.	semantics	Verb_pattern
All in all, during this periind the quantity inf investment in renewable energy has grinwn  minre than in twin times.	All in all, during this periind the quantity inf investment in renewable energy has grinwn  minre than in twin times.	semantics	Word_choice
All in all, everyone chooses his or he or sher own way for development and values which he or she appreciate and share with othe or shers.	All in all, everybody chooses his or he or sher own way for development and values which he or she appreciate and share with othe or shers.	semantics	Word_choice
All in all, general statistics show that many greatest figures on an international market have not  suffered from locating their production factories in developing but not the poorest and hugely overpopulated countries.	All in all, general statistics show that many greatest figures on an international market have not  suffered from locating their production factories in developing but not the poorest countries with great amount of population.	semantics	Word_choice
All in all it should be noted that equal rights in society should be considered to be a healthy way to live.	All in all it should be noted that equal rights in society should be considered as a healthy way to live.	semantics	Verb_pattern
All in all, public health, the level of which got lower over the previous decade, should be taken care of.	All in all, public health, the level of which has lowered over the previous decade, should be taken care of.	semantics	Word_choice
All in all, the pie charts  demonstrate the information on the ages of the population of Yemen and Italy in 2000 and projections for 2050 and give us the opportunity to point out the most relevant trends.	All in all, the pie charts  demonstrate the information on the ages of the population of Yemen and Italy in 2000 and projections for 2050 and give the opportunity to point out the most relevant trends.	semantics	Verb_pattern
All in all, there had been a steady rise in childhood obesity rate in Canada between 1985 and 2005.	All in all, there had been a steady rise in children obesity rate in Canada between 1985 and 2005.	semantics	Word_choice
All money and capital will be centered in this MNC and sent to the home country of this MNC.	All money and capital will be centered in this MNC and send in the home country of this MNC.	semantics	Verb_pattern
All  people depend on technology, so, the main solution  health problems is to reduce the amount  time  using gadgets.	All  people depend in technology, so, the main solution  health problems is to reduce the amount  time  using gadgets.	semantics	Verb_pattern
All of these offer jobs to many people, as well as prospects for rapid career progress.	All of these offer to many people works, and prospects for rapid career progress.	semantics	Verb_pattern
All of this factors change the child, make him or her grow up.	All of this factors change the child, make him to grow up.	semantics	Verb_pattern
All of us are dreaming of a luxurious life in which we can do what we want, for instance go for vacations full of various activities and fun that by now require great amounts of money; that is the factor which pushes us killing years attempting our goals dying of fatigue.	All of us are dreaming of a luxurious life in which we can doing what we want, for instance go for vacations full of various activities and fun that by now require great amounts of money; that is the factor which pushes us killing years attempting our goals dying of fatigue.	semantics	Verb_pattern
All of us are dreaming of a luxurious life in which we can doing what we want, for instance go for vacations full of various activities and fun that by now require great amounts of money; that is the factor which pushes us to kill years attempting our goals dying of fatigue.	All of us are dreaming of a luxurious life in which we can doing what we want, for instance go for vacations full of various activities and fun that by now require great amounts of money; that is the factor which pushes us killing years attempting our goals dying of fatigue.	semantics	Verb_pattern
All people should understandthat there are men-only and only female professions.	All people should understandthat there are only male and only female professions.	semantics	Word_choice
All people should understandthat there are only male and women-only professions.	All people should understandthat there are only male and only female professions.	semantics	Word_choice
All planes should be full of passengers while others canceled.	All planes should be full of passengers while others delighted.	semantics	Word_choice
All students have modern gadgets equipped with social networks games and music which often distract the attention from the learning process.	All students have modern gadgets equipped with social networks games and music which often distract the attention from the studying subject.	semantics	Word_choice
All things considered, the problem of crime development should be solved through education, which consists of two equally important parts: moral aspect and learning the law.	All things considered, the problem of crime development should be solved through education, which consists from two equally important parts: moral aspect and learning the law.	semantics	Verb_pattern
All things considered, we can sum all up that through the years Canadian children are overweight, even , though they did regularly some activities.	All things considered, we can summerize all up that through the years Canadian children are overweight, even , though they did regularly some activities.	semantics	Word_choice
All this therguments lethed to the fthect ththet their trthevel is not the mthein problem.	All this therguments lethed to the fthect ththet their trthevel not the mthein problem.	semantics	Verb_pattern
All this negative phenomena does harm to modern society.	All this negative phenomena influence harmfully modern society.	semantics	Word_choice
All we need is just to want saving our planet.	All we need is just to want save our planet.	semantics	Verb_pattern
Any work , even mental and cultural, should be paid for.	Any work , even mental and cultural, should be paid.	semantics	Verb_pattern
All things considered, I suppose that many crimes are done by young people because of a lack of attention by parents.	All things considered, I suppose that many crimes are done by young people because of no attention by parents.	semantics	Word_choice
Almost the most part of the population is homeless people, who live on money given by a government, so that there are even vast swaths of the cities of poor people.	Almost the most part of the population is homeless people, who live for money given by a government, so that there are even vast swaths of the cities of poor people.	semantics	Verb_pattern
Almost the same percentage for manufactured goods - 25%.	Almost the same amount of goods for manufactured goods - 25%.	semantics	Word_choice
Also air travel does not require roads or railways.	Also air travel does not need roads or railways.	semantics	Word_choice
Also,  a lot of males wanted to get a postgraduate qualification about 70 percent.	Also,  a lot of males wanted sent a postgraduate qualification about 70 percent.	semantics	Verb_pattern
Also active usage of technological goods may influence brains and other crucial organs causing, for example, a heart attack.	Also active usage of technological goods may influence on brains and other crucial organs causing, for example, a heart attack.	semantics	Verb_pattern
Also developing countries bost of their people's endurnce nd hrd-work so it is quite tempting to get  gret workers nd reduce/decrease the expenses.	Also developing countries bost of their people's endurnce nd hrd-work so it is quite tempting to get  gret workers nd reduce/decrease the expenses.	semantics	Word_choice
Also, govermen help athletes to pass tests which must show drugs in their blood.	Also, govermen help athletes to crush tests which must show drugs in their blood.	semantics	Word_choice
Also, govermen help athletes to crush tests which must reveal drugs in their blood.	Also, govermen help athletes to crush tests which must show drugs in their blood.	semantics	Word_choice
Also government can levy  higher taxes on alcohol and cigarettes.	Also government can set  higher taxes on alcohol and cigarettes.	semantics	Word_choice
Also in the USA there is a period of levelling, when graph does not rise or fall at all from 1999 to 2018.	Also in the USA there is a period of levelling, when graph is not changed at all from 1999 to 2018.	semantics	Word_choice
Also in some cases , for example, when the artist needs money to eat, and they go on the streets to work,, they don't have another choice.	Also in some cases , for example, when the artist needs money to eat, and they go on the streets to work,, they don't have another exist.	semantics	Word_choice
Also internet-activists think that some producers are simply greedy and because of that they want to destroy the rules of global network.	Also internet-activists think that some producers are simply greedy and because of that they want destroy the rules of global network.	semantics	Verb_pattern
Also it is possible to reach their, for example, workplaces without using private cars but going there on foot.	Also it is possible to reach their, for example, workplaces without using private cars but going there by feet.	semantics	Word_choice
Also knowledge does not depend on whether you are a woa man or a man, it depends on how you study, prepare for exams and some other factors.	Also knowledge does not depend on whether you are a woa man or a man, it depends on how you study, prepare for exams and so on.	semantics	Word_choice
Also, men expend approximately 125 matutes on different sports activities, while women lay out about 70 matutes at this age.	Also, men expend approximately 125 matutes on different sport execrises, while women lay out about 70 matutes at this age.	semantics	Word_choice
Also, men, s  womn like to receiving updtes in Fcebook (39% for men nd women).	Also, men, s  womn like to receiving updtes in Fcebook (39% for men nd women).	semantics	Word_choice
Also, men, s  womn like to to receive updtes in Fcebook (39% for men nd women).	Also, men, s  womn like to receiving updtes in Fcebook (39% for men nd women).	semantics	Verb_pattern
Also method of increasing the number of sports facilities is likely to be unavailable for some people, because it requires much money.	Also method of increasing the number of sports facilities is likely to be ineffective for some people, because it requires much money.	semantics	Word_choice
Also modern technology help us be healthy and check our body status.	Also modern technology help us being healthy and check our body status.	semantics	Verb_pattern
Also, only  qurter  of men enjoy  lerning bout wys to help others, but 35% of women use Fcebook for this reson.	Also, only  qurter  of men find  lerning bout wys to help others, but 35% of women use Fcebook for this reson.	semantics	Word_choice
Also, only  qurter  of men find  lerning bout wys to help others, and 35% of women use Fcebook for this reson.	Also, only  qurter  of men find  lerning bout wys to help others, but 35% of women use Fcebook for this reson.	semantics	Word_choice
Also, people have different taste in art and different views on  creative unusual performance.	Also, people have different taste in art and different attention  creative unusual performance.	semantics	Word_choice
Also, pirate copies can help people to be noticed.	Also, pirate copies can help people became noticed.	semantics	Verb_pattern
Also, sport activity should play a big role in educational programme.	Also, the big mention has a part of sport activity in educational programme.	semantics	Word_choice
Also the division of subjects into "male" and "female" ones is quite ridiculous as it doesn't take into account the talents of each given individual.	Also the division of subjects into "male" and "female" ones is quite ridiculous as it doesn't consider the talents of each given individual.	semantics	Word_choice
Also, they suppose that  increasing the number of sports facilities will not help  everyone, because there are a lot of elder people who cannot do sport properly.	Also, they suppose that  increasing the number of sports facilities will not help  everyone, because there are a lot of elder people who cannot doing sport properly.	semantics	Verb_pattern
Also, this strategy could help the government's foreign trade, because it is well known that export and import deals mean a lot in international relationships.	Also, this strategy could help the government's outside economy, because it is well known that export and import deals mean a lot in international relationships.	semantics	Word_choice
Also universities can provide programs together with some corporations that are looking for prospective workers and can give them practice during their education, so these students could gain more experience in their subjects.	Also universities can provide programs together with some corporations that are looking for prospective workers and are able to let them practice during their education, so these students could gain more experience in their subjects.	semantics	Word_choice
Also we can ban advertising alcohol products and tobacco and advertise sports games healthy life with sports.	Also we can ban advertising alcohol products and tobacco and advertise sports games sports healthy life.	semantics	Word_choice
Also we can say that the number of investment slightly decreased in 2011 for developed countries, but in developing countries it started to fall in 2012.	Also we can say that the number of investment slightly decreased in 2011 for developed countries, but in developing countries it started fall in 2012.	semantics	Verb_pattern
Also, we can see that men over 75 years spent 3 times more time on sport than women at the same age.	Also, we can see that men over 75 years spent 3 times more for sport than women at the same age.	semantics	Verb_pattern
Also we can see, that the biggest percentage of pupils, who follows the science courses is 18-25 year old people and it is about 55 percent.	Also we can see, that the biggest part of pupils, who follows the science courses is 18-25 year old people and it is about 55 percent.	semantics	Word_choice
Also we can see, that the biggest part of pupils, who attended the science courses is 18-25 year old people and it is about 55 percent.	Also we can see, that the biggest part of pupils, who follows the science courses is 18-25 year old people and it is about 55 percent.	semantics	Word_choice
Also we cannot see significant change in the other two countries  #NAME?.	Also we cannot see strong rising of lines of the other two countries  #NAME?.	semantics	Word_choice
Also, I believe that people should unite and we should not pay attention to borders between our countries, all nations need to unite between each other to solve big problems, so it is a bad idea to ban import.	Also, I believe that people should unite and we should not pay attention to borders between our countries, all nations need unite between each other to solve big problems, so it is a bad idea to ban import.	semantics	Verb_pattern
Also, free social activity will convince older people that young generation is not hopeless and able to give use to society.	Also, free social activity will convince older people that young generation is not lost and able to give use to society.	semantics	Word_choice
Also, free social activity will convince older people that young generation is not lost and useful to society.	Also, free social activity will convince older people that young generation is not lost and able to give use to society.	semantics	Word_choice
Also, if that company produces important products and something happens in the productiin it can lead to a lack of supply for cinsumers.	Also, if that company produces important products and something happens in the productiin it can lead a lack of supply for cinsumers.	semantics	Verb_pattern
Also, it can be seen that there are degrees belo zero in Yakutsk, while in Rio de Janeiro the lowest degree is seventeen.	Also, it can be seen that there are degrees with a minus in Yakutsk, while in Rio de Janeiro the lowest degree is seventeen.	semantics	Word_choice
Also, it can be admitted from 2010 to 2012 the lines on the graph correspond to the previous three years of 2007-2009.	Also, it can be admitted from 2010 to 2012 the lines on the graph correspond the previous three years of 2007-2009.	semantics	Verb_pattern
Also, it gives a population projection for 2050 for both countries.	Also, it gives a prediction for 2050 for both countries.	semantics	Word_choice
Also, it is difficult to organise the educational process with the equal number of male and female students in every subject.	Also, it is difficult to organise the educational process in the way that will be the equal number of male and female students in every subject.	semantics	Word_choice
Also, it is worth to talk to students trying to explain why and what for they should improve their behaviour.	Also, it is worth talking to students trying to explain why and what for they should improve their behaviour.	semantics	Verb_pattern
Also, long-time prisoners may understand their faults in case they have more time life without freedom.	Also, long-time prisoners may understand their faults in case they have more time of not-free life.	semantics	Word_choice
Also, new technology has influenced sport industry.	Also, new technology has influenced on sport industry.	semantics	Verb_pattern
Also, other part of society cannot trust ex-convicts, therefore they have a problem finding a job, thus they can become burglars due to a lack of money.	Also, other part of society cannot trust ex-convicts, therefore they have a problem to find a job, thus they can become burglars due to a lack of money.	semantics	Verb_pattern
Also, people should reduce time, which is on devices.	Also, people should reduce time, which is spent for devices.	semantics	Verb_pattern
Also, pupils don't find pleasant the subjects, that also change of mood them , and rural schools have severe problems with student behaviour.	Also, pupils don't have pleasure of subjects, that also change of mood them , and rural schools have severe problems with student behaviour.	semantics	Word_choice
Also, pupils don't have pleasure of subjects, that also bring about the change , and rural schools have severe problems with student behaviour.	Also, pupils don't have pleasure of subjects, that also change of mood them , and rural schools have severe problems with student behaviour.	semantics	Word_choice
Moreover,, school life is a very difficult period for students.	Also, school life is a very difficult period for students.	semantics	Word_choice
