texts_good	texts_bad	field	error_type
Accordatg to the data, young men spend a record amount of time on doatg sports  at the teen age and middle age, atdicators is about 282 hours spent on doing sports at the age of 16-24, adult's and middle-aged men's amount of hours spent on doing sports is fluctuatatg between 150 and 115 hours spent on doing sports.	Accordatg to the data, young men spend a record amount of time on doatg sports  at the teen age and middle age, atdicators is about 282 hours at the age of 16-24, adult's and middle-aged men's amount of hours is fluctuatatg between 150 and 115 hours.	discourse	Absence_explanation
According to the graph there was an increase in visits abroad by UK residents as well as in visits to the UK by overseas residents.	According to graph there was an increase in visits abroad by UK residents as well as in visits to the UK by overseas residents.	discourse	Absence_explanation
According to the graph, this increase will be continued and in 2030 the percentage will go up dramatically to 25 percent.	According to the graph, this increase will be continued and in 2030 will go up dramatically to 25 percent.	discourse	Absence_comp_sent
According to many sources of information, computers and other technologies have strong influence on our lives.	According to many computers and other technologies have strong influence on our lives.	discourse	Absence_explanation
According to the opinion of many people, computers and other technologies have strong influence on our lives.	According to many computers and other technologies have strong influence on our lives.	discourse	Absence_comp_sent
Accordit is ing to the, the percent of people over 60 is goit is ing to go up it is in Italy too, but it is in contrast this percentage is much higher that it is in Yemen and will it is increase considerable from 24,1 to 42,3 percent.	According to the, the percent of people over 60 is going to go up in Italy too, but in contrast this percentage is much higher that in Yemen and will increase considerable from 24,1 to 42,3 percent.	discourse	Absence_comp_sent
Accordatg to scientists, at the age from 6 to 10 we have the maximum of ability to remember things.	Accordatg to scientists, at the age from 6 to 10 we have the maximum of ability to remember.	discourse	Absence_comp_sent
According to some experts, the extent of happiness in different countries depends on the level of life and opportunities for people to realize themselves.	According to some experts, the extent of happiness in different countries depends on the level of life and opportunities to realize themselves.	discourse	Absence_comp_sent
According to some people  the best way to improve the quality of public health is by increasing the number of sports facilities  and others  this would have little effect on the quality of public health  and that other measures are required.	According to some people  the best way to improve public health is by increasing the number of sports facilities  and others  this would have little effect on public health  and that other measures are required.	discourse	Absence_comp_sent
according to the statistics, every day out in the world happen more than 100 car accidents, which leads to an increase of air pollution.	according to the statistics, every day in the world happen more than 100 car accidents, which leads to an increase of air pollution.	discourse	Absence_comp_sent
According to statistics, approximately 70 percent of people do not remember their leisure time, while there is only 30 per cent of those who are able to have an advantage from their free time.	According to statistics, approximately 70 percent of people do not remember their leisure time, while only 30 per cent of those who are able to have an advantage from their free time.	discourse	Absence_comp_sent
According to the chart, men had a higher percentage in skilled vocational diplomas, postgraduate diplomas and master's degrees, whereas women dominated in undergraduate diplomas and bachelor's degrees.	According to the chart, is a higher percentage in skilled vocational diplomas, postgraduate diplomas and master's degrees, whereas women dominated in undergraduate diplomas and bachelor's degrees.	discourse	Absence_comp_sent
Accordg to the chart men are more successful  scilled vocational diploma (more than 6 times than women),  a postgraduate diploma (70% agast 30%) and  a master's degree (60% agast 40%).	Accordg to the chart men are more successful  scilled vocational diploma (more than 6 times than women),  a postgraduate diploma (70% agast 30%) and  a master's degree (60% agast 40%).	discourse	Absence_comp_sent
According to the chart, Facebook dominates the market, having more than a half of users over fifty years old, almost two thirds of those between 30 and 49 and nearly nine tenths of the younger adults.	According to the chart, Facebook dominates the market, having more than a half of users over fifty, almost two thirds of those between 30 and 49 and nearly nine tenths of the younger adults.	discourse	Absence_explanation
According to the chart, the lowest level of unemployment was in South Asia - 3.9 per cent.	According to the chart, the lowest level of unemployment in South Asia - 3.9 per cent.	discourse	Absence_comp_sent
According to the chart, the lowest level of unemployment in South Asia at- 3.9 per cent.	According to the chart, the lowest level of unemployment in South Asia - 3.9 per cent.	discourse	Absence_explanation
According to the chart. the percentage of boys. who had overweight. significantly increased between 1995 and 2005. It grew from 10%  to 25%, and , as a result, the highest share in the chart(25%,).	According to the chart. the percentage of boys. who had overweight. significantly increased between 1995 and 2005. started from 10%  to 25%, and , as a result, the highest share in the chart(25%,).	discourse	Absence_comp_sent
According to the chart. the percentage of boys. who had overweight. significantly increased between 1995 and 2005. started from 10%  to 25%, and , as a result, the highest share in the chart(25%,).	According to the chart. the percentage of boys. who had overweight. significantly increased between 1995 and 2005. started from 10%  to 25%, and , as a result, the highest share in the chart(25%,).	discourse	Absence_comp_sent
According to the chart, while unemployment is falling in the Middle East, it grows up in the EU, where this rate is still higher than the worldwide one.	According to the chart, while unemployment is falling in the Middle East, it grows up in the EU, where this rate is still higher than worldwide.	discourse	Absence_explanation
According by the charts for Yemen, the part of 0-14 years old people consists the half of all the Yemen part, but this percentage will reduce by 37% by 2050.	According by the charts for Yemen, the part of 0-14 years old consists the half of all the Yemen part, but this percentage will reduce by 37% by 2050.	discourse	Absence_comp_sent
According to the charts, it may also be said, that  the audience  26-40 year olds represented the vast majority  those who have chosen sports and health courses - 62%.	According to the charts, it may also be said, that  the audience  26-40 represented the vast majority  those who have chosen sports and health courses - 62%.	discourse	Absence_explanation
According to the dina fixed in the given line graph, the highest persentage had the United Stines in 1970, and the figure of this country changed a little in the 45-year period between 1970 and 2015.	According to the dina fixed in the given line graph, the highest persentage had the United Stines in 1970, and the figure of this country changed a little in the 45-period between 1970 and 2015.	discourse	Absence_comp_sent
According to the data, it is obvious, that girls indicators are reasonably higher than boys' ones.	According to the data, it is obvious, that girls indicators are reasonably higher than boys.	discourse	Absence_explanation
According to the first chart the vast majority of people preferred to borrow books.	According to the first chart the vast majority of people preferred borrow books.	discourse	Absence_comp_sent
According to the first set of data, the temperature in the Russian city varies from -40 to + just above +20В°C in different months.	According to the first data, the temperature in the Russian city varies from -40 to + just above +20В°C in different months.	discourse	Absence_explanation
According to the given information, the percentage of fossil fuel energy of India and China at the beginning of the period were 25% and 60% respectively, then steadily grew till 2015, ending up with significantly high percentages of 70 for India and approximately 88% for China.	According to the given information, the percentage of India and China at the beginning of the period were 25% and 60% respectively, then steadily grew till 2015, ending up with significantly high percentages of 70 for India and approximately 88% for China.	discourse	Absence_explanation
According to the given information, the percentage of India and China at the beginning of the period were 25% and 60% respectively, then they steadily grew till 2015, ending up with significantly high percentages of 70 for India and approximately 88% for China.	According to the given information, the percentage of India and China at the beginning of the period were 25% and 60% respectively, then steadily grew till 2015, ending up with significantly high percentages of 70 for India and approximately 88% for China.	discourse	Absence_comp_sent
According to the graph, it can be said that in the beginning of the  period under review the least number of children without primary education was in the Rest of the World (10.5 million of boys and 12.8 million.	According to the graph, can be said that in the beginning of the  period under review the least number of children without primary education was in the Rest of the World (10.5 million of boys and 12.8 million.	discourse	Absence_comp_sent
According to the graph, in 1940 the percentage of population aged 65 per cent was about 5 per cent in Japan.	According to the graph, in 1940 the percentage of population aged 65 was about 5 in Japan.	discourse	Absence_comp_sent
According to the graph, only 13% of people from urban and suburban territories and only 2-3% of people from rural areas had access to the Internet.	According to the graph, only 13% of people from urban and suburban territories only 2-3% of people had acces to the Internet.	discourse	Absence_explanation
According to the graph, the majority of people who were keen in sports are males in all age groups while females still remain in the secind place.	According to the graph, the majority of people who keen in sports are males in all age groups while females still remain in the secind place.	discourse	Absence_comp_sent
According to the graphsillustrating the year 2000, in Yemen people who are 0-14 years old, prevail, whereas in Italy people were comparatively older , and the prevailing age is 15-59.	According to the graphsillustrating the year 2000, in Yemen people who are 0-14 years old, prevail, whereas in Italy people comaratively older , and the prevailing age is 15-59.	discourse	Absence_explanation
Accordg to the formation given  the diagrams, Italy is a country with an older population than Yemen's because it has six time as a big part of elder people as  Yemen (24,1%) and a 1.5 times bigger share of people from 15 to 59 years old..	Accordg to the formation given  the diagrams, Italy is a country with an older population than Yemen's because it has six time as a big part of elder people as  Yemen (24,1%) and a 1.5 times bigger share of people from 15 to 59.	discourse	Absence_explanation
According to the Japanese curve, it should be noticed that there is a downward tendency from 1940 to 1960.	According to the Japanese curve, it should be noticed the growing down tendency from 1940 to 1960.	discourse	Absence_comp_sent
According to the researchers, children from full families  are more calm, less aggressive and have more success than their peers who live only with mother or farther or have no family at all.	According to the researchers, children full families are more calm, less aggressive and have more success than their peers who live only with mother or farther or have no family at all.	discourse	Absence_comp_sent
According to the second chart the most popular country visited by UK residents at this period of time was France, which was visited by about 11 million   that accounts  a large percent of the whole number of UK people going abroad.	According to the second chart the most popular country visited by UK residents at this period of time was France, which was visited by about 11 million   that accounts  a large percent of the whole UK people going abroad.	discourse	Absence_explanation
According to the table, the longest underground  is situated in London, while the most popular one is the Tokyo metro; if we take a look at the figure there are 1927 million people who use it during the year.	According to the table, the longest underground  is situated in London, while the most popular one is the Tokyo metro; if we take a look at the figure 1927 millions of people who use it during the year.	discourse	Absence_comp_sent
As for the  changes in the unemployment tendencies in other regions, the chart shows that in the Middle Eas well ast as well as in Latin America the rate goes down: from 11  9,6% in the Middle Eas well ast and from 6,8  5,8 in Latin America.	As for the  changes in the unemployment tendencies in other regions, the chart shows that in the Middle Eas well ast as well as in Latin America the rate goes down: from 11  9,6 in the Middle Eas well ast and from 6,8  5,8 in Latin America.	discourse	Absence_explanation
As for the  changes in the unemployment tendencies in other regions, the chart shows that in the Middle Eas well ast as well as in Latin America the rate goes down: from 11  9,6 in the Middle Eas well ast and from 6,8  5,8% in Latin America.	As for the  changes in the unemployment tendencies in other regions, the chart shows that in the Middle Eas well ast as well as in Latin America the rate goes down: from 11  9,6 in the Middle Eas well ast and from 6,8  5,8 in Latin America.	discourse	Absence_explanation
According to their point of view, nobody should stop their development, not allow them to speak their mind.	According to their point of view, nobody should stop their development, not allowing to say their mind.	discourse	Absence_comp_sent
According to this data, it can be pointed out that the most frequent visitors here are 26-40-year-olds (62%), then the oldest auditory  (23%) , and after that the youngest one follows (15%).	According to this data, it can be pointed out that the most frequent visitors here are 26-40-year-olds (62%), then the oldest auditory  (23%) , and after the youngest one follows (15%).	discourse	Absence_explanation
According to this diagram, men of 16-24 age spent 282,1 minutes a day on exercises and it is the highest result among age and gender categories.	According to this diagram, men of 16-24 age spent 282,1 minutes on exercises and it is the highest result among age and gender categories.	discourse	Absence_explanation
According to this diagram, men of 16-24 age spent 282,1 minutes on exercises and it is the highest result among age and gender categories observed.	According to this diagram, men of 16-24 age spent 282,1 minutes on exercises and it is the highest result among age and gender categories.	discourse	Absence_explanation
According to this information it could be said that people between the age under 29 and over the age of 49 are more supported by employers.	According to this information it could be said that people between under 26 and 29 and over the age of 49 are more supported by employers.	discourse	Absence_explanation
According to this line, then  index increased significantly from 100 to 171 billion dollars in then  first three years, then n then re was a stagnation, then  it rose again.	According to this line, then  index increased significantly from 100 to 171 in then  first three years, then n then re was a stagnation, then  it rose again.	discourse	Absence_comp_sent
According to this, everyone's development is closely connected to the environment and especially to the family.	According to this, everyone's development closely connected to the environment and especially to the family.	discourse	Absence_comp_sent
Actually, it can be considered as a natural process of economic competition and development, but as with every process it has various advantages and disadvantages to be discussed.	Actually, it can be considered as a natural process of economic competition and development, but as every process it has various advantages and disadvantages to be discussed.	discourse	Absence_comp_sent
Actuallylead to, it may mean that longer prison sentenceslead to, higher taxes.	Actually, it may mean that longer prison sentences, higher taxes.	discourse	Absence_explanation
Actually, this is a really hard question, because when we spend money on  one thing  anor thing becomes more difficult to overcome.	Actually, this is a really hard question, because when we spend money on  one thing  anor thing becomes more difficult.	discourse	Absence_explanation
Actually, to have real friends is much more pleasant than to have a nice house on the coast of the sea.	Actually, to have real friends is much more pleasant than a nice house on the coast of the sea.	discourse	Absence_comp_sent
Also, there is a great difference  in the age group from 0 to 14 years, it is going down but difference will be saved by 2050 -	Also, great difference  in the age group from 0 to 14 years, it is going down but difference will be saved by 2050 -	discourse	Absence_comp_sent
Additionally, at the age of 40 - 49 the number of people who studied for career purposes and for their interest maintain the same level.	Additionally, at the age of 40 - 49 the number of people studied for career purposes and for their interest maintain the same level.	discourse	Absence_comp_sent
Additionally, chemicals have approximately the same shares with 11% in the railway transportation and 16% in the road one.	Additionally, chemicals have approximately the same shares with 11% in the railway transportation and 16% in the toad.	discourse	Absence_explanation
Additionally, many students or young adults opt for less time-consuming jobs, and thus low-paid jobs as they have too many assignments to hand in and too many essays to write, which makes them want to spend most of their time with their friends and family.	Additionally, many students or young adults opt for less time-consuming, and thus low-paid jobs as they have too many assignments to hand in and too many essays to write, which makes them want to spend most of their time with their friends and family.	discourse	Absence_explanation
Additionally, the biggest differences between men and women we observe in groups aged 16-24 and over 75.	Additionally, the biggest differences between men and women we observe in groups 16-24 and over 75.	discourse	Absence_explanation
Additionally, the biggest differences between men and women we observe in groups 16-24 and over 75 years old.	Additionally, the biggest differences between men and women we observe in groups 16-24 and over 75.	discourse	Absence_explanation
Additionally, women over 75 spent the least amount of time on sport activities among both genders (10  minutes).	Additionally, women over 75 spent the least amount of time on sport activities among both genders (10).	discourse	Absence_explanation
Additionally, the methods a used by commercial companies are considered to be more effective and modern since they use advanced technologies.	Additionally, the methods a used by commercial companies considered to be more effective and modern since they use advanced technologies.	discourse	Absence_comp_sent
Additionally, it should be mentioned that the maximum point of the bar chart comes to 25% in the year of 2005 (the percentage of overweight boys) and the minimum one comes to - 11% in the year of 1985 (once again, overweight boys).	Additionally, it should be mentioned that the maximum point of the bar chart comes to 25% in the year of 2005 (the percentage of overweight boys) and the minimum - 11% in the year of 1985 (once again, overweight boys).	discourse	Absence_comp_sent
Advertareements of cooking are dangerous for children, because they will start using the internet more.	Advertareements of cooking are dangerous for children, because they will more internet if it.	discourse	Absence_explanation
Adults (40 years old and above) make up only 1/8 of the total amount (15%).	Adults (40 years and above) make up only 1/8 of the total amount (15%).	discourse	Absence_explanation
Africa didn't show the same result what was happened in the same result world so Asia did.	Africa didn't show the what was happened in the world so Asia did.	discourse	Absence_comp_sent
After 1980 the figures were stable and after 2020 they will rise to 23 percent in 2040.	After 1980 the figures were stable and after 2020 will rise to 23 percent in 2040.	discourse	Absence_comp_sent
After 2000 there can be seen a prediction of a sharp rise from 5 by 25 percent by 2040.	After 2000 there can be seen a sharp rise from 5 by 25 percent by 2040.	discourse	Absence_explanation
After reaching the age of 25 years  every person becomes determining theirselves, accustomed to some habits and preferences, etc.	After 25 years  every person becomes determining theirselves, accustomed to some habits and preferences, etc.	discourse	Absence_comp_sent
After a considerable growth it reaches a peak between 21 and 24 hours per day.	After a considerable growth it reaches a peak between 21 and 24 hours.	discourse	Absence_comp_sent
After a slight decrease in 2013 the investment in the developed countries reached nearly 90 billion dollars.	After a slight decrease in 2013 the investment reached nearly 90 billion dollars.	discourse	Absence_explanation
After falling to 52,7 minutes to the 55-64 ctoegory, the time rising from 52,7 to 60,5 minutes, but after peaking had fallen back to 29,2 minutes. Speaking of women, also falling down, but slower.	After falling to 52,7 minutes to the 55-64 ctoegory, tis gender rising from 52,7 to 60,5 minutes, but after peaking had fallen back to 29,2 minutes. Speaking of women, also falling down, but slower.	discourse	Absence_comp_sent
After falling to 52,7 minutes to the 55-64 ctoegory, tis gender rising from 52,7 to 60,5 minutes, but after peaking at that number had fallen back to 29,2 minutes. Speaking at that number of women, also falling down, but slower.	After falling to 52,7 minutes to the 55-64 ctoegory, tis gender rising from 52,7 to 60,5 minutes, but after peaking had fallen back to 29,2 minutes. Speaking of women, also falling down, but slower.	discourse	Absence_explanation
After falling to 52,7 minutes to the 55-64 ctoegory, tis gender rising from 52,7 to 60,5 minutes, but after peaking had fallen back to 29,2 minutes. Speaking of women, the time also fell down, but slower.	After falling to 52,7 minutes to the 55-64 ctoegory, tis gender rising from 52,7 to 60,5 minutes, but after peaking had fallen back to 29,2 minutes. Speaking of women, also falling down, but slower.	discourse	Absence_comp_sent
After this, there is a route in LA with only 50 million  passengers per year and 28 kilometres  route.	After route in LA with only 50 million  passengers per year and 28 kilometres  route.	discourse	Absence_comp_sent
After shooting while playing video games a teenager can think that it is normal to kill somewhile playinge or steal a car.	After shooting on video games a teenager can think that it is normal to kill someone or steal a car.	discourse	Absence_comp_sent
After that my brother began spend his time outdoors and it was wonderful when he stopped being angry and he changed.	After that brother began spend his time outdoors and it was wonderful when he stopped being angry and he changed.	discourse	Absence_explanation
After that the percentages of this population sector in the USA and Sweden began to rise slightly and by the year of 1980 reached the mark of 14-15 per cent.	After that the percentages of population in the USA and Sweden began to rise slightly and by the year of 1980 reached the mark of 14-15 per cent.	discourse	Absence_explanation
After that there is a little decrease and then these two countries start to follow different ways.	After that there is a little decrease and these two countries start to follow different ways.	discourse	Absence_explanation
After that these countries had a dramatic absense in the number of old people which peaked in 2040 by 25% in both the USA and Sweden.	After that these countries had a dramatic increase of old people which peaked in 2040 by 25% in both the USA and Sweden.	discourse	Absence_explanation
After that there is a small decline (33 minutes) for the first 10 years) and stagnation for men between 35-44 and 45-54.	After that there is a small decline (33 minutes) and stagnation for men between 35-44 and 45-54.	discourse	Absence_comp_sent
